fid,PCD,PCD_Source,X_BNG,Y_BNG,X_IG,Y_IG,X_Latitude,Y_Longitud,Total_Pers,Females,Males,Occupied_H,LSOA_DZ_Co,LSOA_DZ_Na,OA_SA_Code,OAC_Superg,OAC_Supe_1,OAC_Group_,OAC_Goup_N,OAC_Subgro,OAC_Subg_1,WIMD_2014_,EIMD_2015_,EIMD_201_1,EIMD_201_2,SIMD_2016_,NIMDM_2017,LSOA_DZ_To,LSOA_DZ__1,OA_SA_Town,OA_SA_To_1,field_32,field_33,field_34,utd-pop,icon_url
6814,BR2 8JH,ONS,542269,166933,0,0,0.043054120000000,51.383620000000001,61,27,34,23,E01000661,Bromley 026A,E00003206,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.109430310000000,5.000000000000000,,,,"67",./4.png
6815,BR2 8JJ,ONS,542355,167070,0,0,0.044343980000000,51.384830000000001,72,37,35,33,E01000661,Bromley 026A,E00003206,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.109430310000000,5.000000000000000,,,,"79",./4.png
6816,BR2 8JL,ONS,542344,167106,0,0,0.044200430000000,51.385150000000003,65,35,30,26,E01000661,Bromley 026A,E00003206,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.109430310000000,5.000000000000000,,,,"71",./4.png
6817,BR2 8JN,ONS,542166,166909,0,0,0.041565390000000,51.383429999999997,76,44,32,36,E01000661,Bromley 026A,E00003212,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.898208348000000,5.000000000000000,,,,"83",./4.png
6818,BR2 8JP,ONS,542095,166973,0,0,0.040571390000000,51.384030000000003,86,46,40,36,E01000661,Bromley 026A,E00003205,"3",Ethnicity Central,3c,Ethnic Dynamics,3c1,Constrained Neighbourhoods,,"50","2184",1,,,4.503961173000000,5.000000000000000,5.386721969000000,5.000000000000000,,,,"94",./3.png
6819,BR2 8JQ,ONS,542333,167003,0,0,0.044001210000000,51.384239999999998,22,8,14,11,E01000661,Bromley 026A,E00003206,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.109430310000000,5.000000000000000,,,,"24",./0.png
6820,BR2 8JR,ONS,542166,166951,0,0,0.041582190000000,51.383809999999997,84,47,37,36,E01000661,Bromley 026A,E00003205,"3",Ethnicity Central,3c,Ethnic Dynamics,3c1,Constrained Neighbourhoods,,"50","2184",1,,,4.503961173000000,5.000000000000000,5.386721969000000,5.000000000000000,,,,"92",./3.png
6821,BR2 8JS,ONS,542218,167045,0,0,0.042366540000000,51.384639999999997,74,38,36,27,E01000661,Bromley 026A,E00003208,"3",Ethnicity Central,3a,Ethnic Family Life,3a1,Established Renting Families,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.731866291000000,5.000000000000000,,,,"81",./4.png
6822,BR2 8JT,ONS,542151,167037,0,0,0.041401170000000,51.384590000000003,65,39,26,30,E01000661,Bromley 026A,E00003208,"3",Ethnicity Central,3a,Ethnic Family Life,3a1,Established Renting Families,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.731866291000000,5.000000000000000,,,,"71",./4.png
6823,BR2 8JU,ONS,542149,167130,0,0,0.041409640000000,51.385420000000003,82,45,37,31,E01000661,Bromley 026A,E00003205,"3",Ethnicity Central,3c,Ethnic Dynamics,3c1,Constrained Neighbourhoods,,"50","2184",1,,,4.503961173000000,5.000000000000000,5.386721969000000,5.000000000000000,,,,"90",./3.png
